final_theory_exam_grade
4.98
7.08
7.58
3.35
5.05
2.63
5.15
9.05
4.15
1.98
4.1
4.05
5.58
4.15
6.33
2.45
2.83
6.88
5.2
3.48
4.05
6.05
9.18
4.18
2.68
2.85
4.73
4.05
4.73
4.8
4.4
4.53
4.05
3.38
4.3
4.53
1.43
1.45
4.0
6.58
3.08
2.33
4.15
4.53
5.98
7.35
1.83
7.5
2.63
4.75
3.1
4.0
