final_theory_exam_grade
5.4
5.25
2.18
2.23
3.38
1.28
4.25
4.23
5.38
1.18
4.0
1.63
4.23
5.03
6.95
4.08
5.5
5.73
5.15
4.33
4.75
3.78
8.33
5.28
7.43
6.13
4.28
3.35
1.35
3.25
2.35
3.83
4.88
0.45
6.15
4.73
8.58
6.9
9.35
0.55
2.05
5.85
7.85
6.18
4.25
